Products,Products,Products,,,,Products
Name,Description,Category,GST,Rent,Purchase Price,Qty
TOP-83,Black velvet Bahubali,Top,5,150.00,500.00,12
TOP-82,Thiruvathira Red,Top,5,150.00,500.00,10
TOP-81,Thiruvathira Green,Top,5,150.00,500.00,10
TOP-80,Green seq velvet blouse,Top,5,125.00,1000.00,10
TOP-79,White minukku cloth,Top,5,125.00,500.00,7
TOP-78,White brocade choli blouse,Top,5,150.00,500.00,12
TOP-77,Black brocade choli blouse,Top,5,150.00,500.00,12
TOP-76,White/Green Oppana top,Top,5,175.00,500.00,10
TOP-75,White/ Red oppana top,Top,5,175.00,500.00,10
TOP-74,Gold full sleeve long top,Top,5,150.00,500.00,6
TOP-73,Neriyathu blouse puff sleeve,Top,5,125.00,500.00,12
TOP-72,Off whiteflower design long top,Top,5,125.00,500.00,6
TOP-71,Red white polka dot top,Top,5,125.00,500.00,3
TOP-70,Black puff sleevesmall top,Top,5,125.00,500.00,15
TOP-69,Green brocade puff short top,Top,5,150.00,500.00,12
TOP-68,Gold puff sleeve long top,Top,5,125.00,500.00,10
TOP-67,Full plain blackLong top,Top,5,150.00,500.00,12
TOP-66,Gold satin sleeveless top king,Top,5,125.00,500.00,7
TOP-65,Yellow full sequence,Top,5,80.00,300.00,12
TOP-64,Pink full seq top long,Top,5,150.00,500.00,1
TOP-63,Gold full seq top long,Top,5,150.00,500.00,5
TOP-62,Black net gold dot,Top,5,150.00,500.00,8
TOP-61,Pista gree gold border,Top,5,125.00,500.00,4
TOP-60,Red seq top gold border,Top,5,125.00,500.00,12
TOP-59,Red satin black design neck top,Top,5,125.00,500.00,7
TOP-58,Blue plain with gold border XL,Top,5,125.00,500.00,6
TOP-57,Pink with gold border XL,Top,5,125.00,500.00,10
TOP-56,Green with gold border XL,Top,5,125.00,500.00,9
TOP-55,Red with gold border XL,Top,5,125.00,500.00,11
TOP-54,Plain red with border,Top,5,80.00,500.00,8
TOP-53,Plain red blouse(No brocade),Top,5,80.00,500.00,6
TOP-52,Blue check brocade thiruvatira blouse,Top,5,125.00,500.00,10
TOP-51,Green check brocadeThiruvathira blouse,Top,5,125.00,500.00,10
TOP-50,Majenta brocade blouse,Top,5,125.00,500.00,4
TOP-49,Blue brocade blouse,Top,5,125.00,500.00,5
TOP-48,Orange velvet,Top,5,125.00,500.00,10
TOP-47,Pista green blouse,Top,5,125.00,500.00,3
TOP-46,Red white flower,Top,5,80.00,300.00,2
TOP-45,Black dot small,Top,5,80.00,500.00,10
TOP-44,Majenta brocade,Top,5,125.00,500.00,8
TOP-43,White/Red dot,Top,5,50.00,250.00,3
TOP-42,GREEN/YELLOW DOT PUFF,Top,5,50.00,250.00,6
TOP-41,BLUE GOLD,Top,5,125.00,500.00,4
TOP-40,ORANGE FULL SLEEVE,Top,5,80.00,300.00,5
TOP-39,GOLD FULL,Top,5,80.00,300.00,6
TOP-38,SILVER/BLACK,Top,5,80.00,300.00,10
TOP-37,BLACK/GOLD,Top,5,150.00,500.00,7
TOP-36,RAJASTANI BLOUSE,Top,5,125.00,500.00,12
TOP-35,MAJENTA/GREEN,Top,5,80.00,300.00,10
TOP-34,MAJENTA/BLUE,Top,5,80.00,300.00,10
TOP-33,GREEN SEQUENCE,Top,5,80.00,300.00,10
TOP-32,GREEN MIRROR,Top,5,80.00,300.00,10
TOP-31,BLACK PUFF,Top,5,125.00,500.00,10
TOP-30,LIGHT YELLOW PUFF,Top,5,125.00,500.00,11
TOP-29,YELLOW PUFF,Top,5,80.00,300.00,11
TOP-28,BLUE/PINK,Top,5,80.00,300.00,15
TOP-27,VIOLET,Top,5,80.00,300.00,13
TOP-26,RED/PINK,Top,5,125.00,500.00,15
TOP-25,GOLD,Top,5,80.00,300.00,10
TOP-24,GOLD,Top,5,125.00,500.00,13
TOP-23,GOLD,Top,5,80.00,300.00,12
TOP-22,GOLD,Top,5,125.00,500.00,10
TOP-21,GOLD,Top,5,50.00,250.00,10
TOP-20,GOLD PUFF,Top,5,80.00,300.00,12
TOP-19,BLACK VELVET,Top,5,150.00,500.00,6
TOP-18,BLACK VELVET,Top,5,125.00,500.00,16
TOP-17,BLUE PUFF,Top,5,80.00,300.00,30
TOP-16,ORANGE VELVET,Top,5,125.00,500.00,11
TOP-15,MAJENDA VELVET,Top,5,125.00,500.00,6
TOP-14,BLUE VELVET,Top,5,150.00,500.00,6
TOP-13,BLUE PUFF,Top,5,125.00,500.00,19
TOP-12,BLUE VELVET,Top,5,150.00,500.00,10
TOP-11,BLUE VELVET,Top,5,125.00,500.00,20
TOP-10,GREEN VELVET,Top,5,125.00,500.00,9
TOP-9,GREEN VELVET,Top,5,150.00,500.00,10
TOP-8,RED VELVET,Top,5,150.00,500.00,10
TOP-7,GREEN VELVET,Top,5,80.00,300.00,9
